event_id,event_type,user_id,session_id,product_id,query_text,source,signal_weight,timestamp,metadata_json
860ebc6d-291d-4853-b92f-9be5c6606171,chat_started,129,sim-u129-s2,,start session,synthetic-exercise,1,2026-03-06T08:39:44.780726+00:00,"{""channel"": ""web""}"
b35c95a3-7706-4721-ba75-356b6b9cfdc1,search_performed,129,sim-u129-s2,,laptop stand,synthetic-exercise,1,2026-03-06T08:41:07.780726+00:00,"{""search_query"": ""laptop stand""}"
bebb2c89-cb3d-49fa-b17d-b7d0f6176577,product_clicked,129,sim-u129-s2,30,,synthetic-exercise,2,2026-03-06T08:42:34.780726+00:00,"{""category_id"": 7}"
ff87a324-4a53-431d-8b4d-ed3515cc391e,product_viewed,129,sim-u129-s2,30,,synthetic-exercise,1,2026-03-06T08:45:30.780726+00:00,"{""category_id"": 7}"
a073c33c-f564-4d9b-8bf6-b43f7d62bca5,cart_viewed,129,sim-u129-s2,,open cart,synthetic-exercise,1,2026-03-06T08:46:58.780726+00:00,{}
4d216ea0-d48e-4687-a5a1-59e0eab0fac0,cart_item_added,129,sim-u129-s2,30,,synthetic-exercise,4,2026-03-06T08:49:13.780726+00:00,"{""category_id"": 7}"
0210ad31-790d-4612-89ca-83202b586d7e,cart_item_quantity_updated,129,sim-u129-s2,30,,synthetic-exercise,3,2026-03-06T08:49:49.780726+00:00,"{""category_id"": 7, ""quantity"": 2}"
a031f670-666e-46b3-a886-03625458b24a,checkout_started,129,sim-u129-s2,,checkout,synthetic-exercise,4,2026-03-06T08:50:48.780726+00:00,{}
3c68d709-4071-470a-9642-eb82b3870e89,order_created,129,sim-u129-s2,30,,synthetic-exercise,5,2026-03-06T08:53:31.780726+00:00,"{""category_id"": 7}"
0c7e9aa6-64ed-47cd-8471-69b930058de4,order_paid,129,sim-u129-s2,30,,synthetic-exercise,6,2026-03-06T08:55:29.780726+00:00,"{""category_id"": 7}"
825188ca-5c18-412a-bd3e-2cb311c2f017,order_completed,129,sim-u129-s2,30,,synthetic-exercise,6,2026-03-06T08:56:25.780726+00:00,"{""category_id"": 7}"
598ddb8a-ef33-4e51-a3e5-99dc9cb0e76f,chat_message_sent,129,sim-u129-s2,30,Nen chon mau nao cho cong viec van phong,synthetic-exercise,2,2026-03-06T08:59:13.780726+00:00,"{""category_id"": 7, ""intent"": ""advice""}"
a24660c3-8bbb-44df-a100-f1e4ffd100f1,chat_started,168,sim-u168-s3,,start session,synthetic-exercise,1,2026-03-06T08:59:42.780726+00:00,"{""channel"": ""web""}"
94b49bff-b5ec-4ab0-a63a-b494d89c4bef,search_performed,168,sim-u168-s3,,gaming keyboard,synthetic-exercise,1,2026-03-06T09:00:53.780726+00:00,"{""search_query"": ""gaming keyboard""}"
e169aa78-4498-4d08-af83-a86f6e9f6d8b,search_performed,129,sim-u129-s2,,ergonomic desk,synthetic-exercise,1,2026-03-06T09:01:17.780726+00:00,"{""search_query"": ""ergonomic desk""}"
a602f1bd-6a13-4523-89fd-6fafa3721359,product_clicked,168,sim-u168-s3,11,,synthetic-exercise,2,2026-03-06T09:01:50.780726+00:00,"{""category_id"": 4}"
edd59433-a8ed-4750-baec-84a1e9e84932,product_clicked,129,sim-u129-s2,8,,synthetic-exercise,2,2026-03-06T09:02:47.780726+00:00,"{""category_id"": 1}"
67dc37b0-2378-4e30-8f31-7f497efca483,product_viewed,168,sim-u168-s3,11,,synthetic-exercise,1,2026-03-06T09:03:49.780726+00:00,"{""category_id"": 4}"
33bedda7-05e2-46ca-a996-5585e66cfe3d,cart_viewed,168,sim-u168-s3,,open cart,synthetic-exercise,1,2026-03-06T09:04:33.780726+00:00,{}
07611852-0336-4f27-ba60-973bf71b0e73,chat_started,496,sim-u496-s4,,start session,synthetic-exercise,1,2026-03-06T09:04:35.780726+00:00,"{""channel"": ""web""}"
