event_id,event_type,user_id,session_id,product_id,query_text,source,signal_weight,timestamp,metadata_json
456423d0-f957-4832-b3b7-3ded58049ae9,chat_started,99,sim-u99-s3,,start session,synthetic,1,2026-03-17T06:04:46.303639+00:00,"{""channel"": ""web""}"
8a4f53f6-02aa-4143-83f0-c7c882545cdc,search_performed,99,sim-u99-s3,,ergonomic desk,synthetic,1,2026-03-17T06:07:15.303639+00:00,"{""search_query"": ""ergonomic desk""}"
53b3140d-65e5-4f9d-9450-07a86c698e84,product_clicked,99,sim-u99-s3,24,,synthetic,2,2026-03-17T06:08:47.303639+00:00,"{""category_id"": 10}"
cf9a30ad-e839-49ac-af7b-33db85ac8782,product_viewed,99,sim-u99-s3,24,,synthetic,1,2026-03-17T06:10:15.303639+00:00,"{""category_id"": 10}"
20aa9420-2e05-403d-893f-ca8356c92527,chat_message_sent,99,sim-u99-s3,24,Co goi y san pham thay the khong,synthetic,2,2026-03-17T06:11:36.303639+00:00,"{""category_id"": 10, ""intent"": ""advice""}"
1d228c4b-1db2-4559-a4ac-be759f4998e5,chat_started,59,sim-u59-s2,,start session,synthetic,1,2026-03-17T08:28:54.303639+00:00,"{""channel"": ""web""}"
94c8f2ba-176b-480f-9d9e-3b31e07a4946,search_performed,59,sim-u59-s2,,wireless mouse,synthetic,1,2026-03-17T08:31:14.303639+00:00,"{""search_query"": ""wireless mouse""}"
b89fc77b-905d-45df-8192-ed1484d6a776,product_clicked,59,sim-u59-s2,34,,synthetic,2,2026-03-17T08:33:43.303639+00:00,"{""category_id"": 15}"
91fbd508-f33b-4f4e-9a2c-839ace238fe1,product_viewed,59,sim-u59-s2,34,,synthetic,1,2026-03-17T08:34:11.303639+00:00,"{""category_id"": 15}"
b6dd51db-e3cc-4c7f-8377-bf87fe3400d7,cart_viewed,59,sim-u59-s2,,open cart,synthetic,1,2026-03-17T08:36:11.303639+00:00,{}
3e750b22-62e8-4224-b9dd-38d1360541de,cart_item_added,59,sim-u59-s2,34,,synthetic,4,2026-03-17T08:38:33.303639+00:00,"{""category_id"": 15}"
f46b21f7-cd1e-45b2-b51d-ed2d9db7a056,checkout_started,59,sim-u59-s2,,checkout,synthetic,4,2026-03-17T08:39:18.303639+00:00,{}
ffe814ed-671e-4c6c-b5c2-89ea7e8a0ba0,order_created,59,sim-u59-s2,34,,synthetic,5,2026-03-17T08:41:33.303639+00:00,"{""category_id"": 15}"
f1ba3f12-0de5-44f6-af05-64a4ee2eefd3,order_paid,59,sim-u59-s2,34,,synthetic,6,2026-03-17T08:42:14.303639+00:00,"{""category_id"": 15}"
241a53d7-df9e-4c15-b4ac-5992390dc7f8,order_completed,59,sim-u59-s2,34,,synthetic,6,2026-03-17T08:44:56.303639+00:00,"{""category_id"": 15}"
